id,date,fruitId,marketId,type,priceChangePct,severity,reason,description
ANOM02790,2026-04-08,F09,WH001,price_drop,-41.36,严重,替代水果冲击,2026-04-08 WH001市场F09价格异常波动
ANOM02835,2026-04-08,F15,HN001,price_drop,-35.5,严重,替代水果冲击,2026-04-08 HN001市场F15价格异常波动
ANOM02888,2026-04-09,F02,BJ001,price_drop,-57.9,低,品质下滑,2026-04-09 BJ001市场F02价格异常波动
ANOM02973,2026-04-09,F12,CD001,supply_shortage,16.55,高,检验检疫加强,2026-04-09 CD001市场F12价格异常波动
ANOM02988,2026-04-09,F14,SZ001,volume_surge,14.88,严重,批发市场搬迁,2026-04-09 SZ001市场F14价格异常波动
ANOM03036,2026-04-09,F20,SZ001,price_drop,-31.07,低,集中上市供过于求,2026-04-09 SZ001市场F20价格异常波动
ANOM03116,2026-04-10,F10,SZ001,price_drop,-21.79,高,出口减少转内销,2026-04-10 SZ001市场F10价格异常波动
ANOM03204,2026-04-11,F01,SZ001,price_spike,48.46,中,极端天气影响运输,2026-04-11 SZ001市场F01价格异常波动
ANOM03313,2026-04-11,F15,GZ001,volume_surge,22.86,严重,促销活动,2026-04-11 GZ001市场F15价格异常波动
ANOM03592,2026-04-13,F10,BJ001,supply_shortage,24.53,高,货源紧张,2026-04-13 BJ001市场F10价格异常波动
ANOM03736,2026-04-14,F08,BJ001,volume_surge,7.17,中,促销活动,2026-04-14 BJ001市场F08价格异常波动
ANOM03787,2026-04-14,F14,HN001,price_spike,28.33,低,节日需求激增,2026-04-14 HN001市场F14价格异常波动
ANOM03847,2026-04-15,F01,XA001,price_spike,58.81,严重,主产区受灾减产,2026-04-15 XA001市场F01价格异常波动
ANOM04600,2026-04-19,F16,BJ001,supply_shortage,21.42,低,货源紧张,2026-04-19 BJ001市场F16价格异常波动
ANOM04831,2026-04-21,F04,XA001,supply_shortage,16.39,中,检验检疫加强,2026-04-21 XA001市场F04价格异常波动
ANOM05150,2026-04-23,F04,WH001,price_spike,50.05,严重,主产区受灾减产,2026-04-23 WH001市场F04价格异常波动
ANOM05242,2026-04-23,F16,SH001,supply_shortage,22.38,中,产地封控,2026-04-23 SH001市场F16价格异常波动
ANOM05281,2026-04-24,F01,GZ001,price_spike,59.21,严重,极端天气影响运输,2026-04-24 GZ001市场F01价格异常波动
ANOM05562,2026-04-25,F16,SH001,price_drop,-26.3,高,出口减少转内销,2026-04-25 SH001市场F16价格异常波动
ANOM05599,2026-04-25,F20,XA001,volume_surge,10.5,中,促销活动,2026-04-25 XA001市场F20价格异常波动
ANOM05638,2026-04-26,F05,WH001,price_drop,-35.98,高,替代水果冲击,2026-04-26 WH001市场F05价格异常波动
ANOM05662,2026-04-26,F08,WH001,volume_surge,14.93,高,批发市场搬迁,2026-04-26 WH001市场F08价格异常波动
ANOM05739,2026-04-26,F18,HN001,supply_shortage,21.9,高,物流受阻,2026-04-26 HN001市场F18价格异常波动
ANOM05758,2026-04-26,F20,WH001,supply_shortage,17.38,高,检验检疫加强,2026-04-26 WH001市场F20价格异常波动
ANOM05913,2026-04-27,F20,GZ001,price_drop,-23.64,低,品质下滑,2026-04-27 GZ001市场F20价格异常波动
ANOM05961,2026-04-28,F06,GZ001,price_drop,-51.58,中,出口减少转内销,2026-04-28 GZ001市场F06价格异常波动
ANOM06016,2026-04-28,F13,BJ001,price_drop,-53.19,严重,替代水果冲击,2026-04-28 BJ001市场F13价格异常波动
ANOM06039,2026-04-28,F15,XA001,price_drop,-29.96,高,品质下滑,2026-04-28 XA001市场F15价格异常波动
ANOM06102,2026-04-29,F03,WH001,price_drop,-37.28,中,出口减少转内销,2026-04-29 WH001市场F03价格异常波动
ANOM06112,2026-04-29,F05,BJ001,price_drop,-56.93,中,集中上市供过于求,2026-04-29 BJ001市场F05价格异常波动
ANOM06314,2026-04-30,F10,SH001,price_drop,-31.6,中,集中上市供过于求,2026-04-30 SH001市场F10价格异常波动
ANOM06451,2026-05-01,F07,HN001,price_drop,-55.8,中,品质下滑,2026-05-01 HN001市场F07价格异常波动
ANOM06542,2026-05-01,F18,WH001,supply_shortage,22.39,高,物流受阻,2026-05-01 WH001市场F18价格异常波动
ANOM06550,2026-05-01,F19,WH001,supply_shortage,16.57,中,产地封控,2026-05-01 WH001市场F19价格异常波动
ANOM06654,2026-05-02,F12,WH001,price_drop,-41.02,中,集中上市供过于求,2026-05-02 WH001市场F12价格异常波动
ANOM06816,2026-05-03,F13,BJ001,volume_surge,20.68,高,节假日备货,2026-05-03 BJ001市场F13价格异常波动
ANOM06932,2026-05-04,F07,SZ001,volume_surge,10.57,严重,批发市场搬迁,2026-05-04 SZ001市场F07价格异常波动
ANOM07014,2026-05-04,F17,WH001,price_drop,-27.88,高,集中上市供过于求,2026-05-04 WH001市场F17价格异常波动
ANOM07084,2026-05-05,F06,SZ001,supply_shortage,8.62,高,产地封控,2026-05-05 SZ001市场F06价格异常波动
ANOM07219,2026-05-06,F03,HN001,price_drop,-51.81,高,出口减少转内销,2026-05-06 HN001市场F03价格异常波动
ANOM07218,2026-05-06,F03,SH001,volume_surge,10.7,严重,促销活动,2026-05-06 SH001市场F03价格异常波动
ANOM07352,2026-05-06,F20,BJ001,price_drop,-50.56,高,集中上市供过于求,2026-05-06 BJ001市场F20价格异常波动
ANOM07353,2026-05-06,F20,GZ001,price_drop,-45.45,低,出口减少转内销,2026-05-06 GZ001市场F20价格异常波动
ANOM07440,2026-05-07,F11,BJ001,price_spike,47.13,低,主产区受灾减产,2026-05-07 BJ001市场F11价格异常波动
ANOM07630,2026-05-08,F14,WH001,price_spike,20.46,严重,主产区受灾减产,2026-05-08 WH001市场F14价格异常波动
ANOM08053,2026-05-11,F07,CD001,volume_surge,24.28,严重,批发市场搬迁,2026-05-11 CD001市场F07价格异常波动
ANOM08243,2026-05-12,F11,HN001,volume_surge,11.8,低,批发市场搬迁,2026-05-12 HN001市场F11价格异常波动
ANOM08295,2026-05-12,F17,XA001,supply_shortage,18.44,严重,物流受阻,2026-05-12 XA001市场F17价格异常波动
ANOM08339,2026-05-13,F03,HN001,volume_surge,16.55,中,节假日备货,2026-05-13 HN001市场F03价格异常波动
ANOM08370,2026-05-13,F07,SH001,supply_shortage,11.6,严重,产地封控,2026-05-13 SH001市场F07价格异常波动
ANOM08478,2026-05-13,F20,WH001,price_drop,-31.45,中,集中上市供过于求,2026-05-13 WH001市场F20价格异常波动
ANOM08488,2026-05-14,F02,BJ001,price_drop,-30.94,低,品质下滑,2026-05-14 BJ001市场F02价格异常波动
ANOM08594,2026-05-14,F15,SH001,supply_shortage,9.98,低,物流受阻,2026-05-14 SH001市场F15价格异常波动
ANOM08798,2026-05-15,F20,WH001,supply_shortage,10.9,高,物流受阻,2026-05-15 WH001市场F20价格异常波动
ANOM08872,2026-05-16,F10,BJ001,price_drop,-29.38,高,品质下滑,2026-05-16 BJ001市场F10价格异常波动
ANOM09219,2026-05-18,F13,HN001,price_spike,38.82,低,极端天气影响运输,2026-05-18 HN001市场F13价格异常波动
ANOM09290,2026-05-19,F02,SH001,price_drop,-25.65,严重,替代水果冲击,2026-05-19 SH001市场F02价格异常波动
ANOM09356,2026-05-19,F10,SZ001,price_drop,-49.38,低,集中上市供过于求,2026-05-19 SZ001市场F10价格异常波动
ANOM09693,2026-05-21,F12,CD001,supply_shortage,15.73,高,货源紧张,2026-05-21 CD001市场F12价格异常波动
ANOM09761,2026-05-22,F01,GZ001,volume_surge,10.89,中,批发市场搬迁,2026-05-22 GZ001市场F01价格异常波动
ANOM10115,2026-05-24,F05,HN001,price_drop,-26.32,中,集中上市供过于求,2026-05-24 HN001市场F05价格异常波动
ANOM10481,2026-05-26,F11,GZ001,price_drop,-34.44,高,出口减少转内销,2026-05-26 GZ001市场F11价格异常波动
ANOM10507,2026-05-26,F14,HN001,price_drop,-29.87,中,替代水果冲击,2026-05-26 HN001市场F14价格异常波动
ANOM10775,2026-05-28,F07,XA001,price_drop,-44.56,高,出口减少转内销,2026-05-28 XA001市场F07价格异常波动
ANOM10795,2026-05-28,F10,HN001,volume_surge,9.8,低,大客户集中采购,2026-05-28 HN001市场F10价格异常波动
ANOM10844,2026-05-28,F16,SZ001,supply_shortage,12.36,高,货源紧张,2026-05-28 SZ001市场F16价格异常波动
ANOM10907,2026-05-29,F04,HN001,price_drop,-57.54,严重,替代水果冲击,2026-05-29 HN001市场F04价格异常波动
ANOM11042,2026-05-30,F01,SH001,volume_surge,17.5,严重,批发市场搬迁,2026-05-30 SH001市场F01价格异常波动
ANOM11340,2026-05-31,F18,SZ001,supply_shortage,19.73,中,货源紧张,2026-05-31 SZ001市场F18价格异常波动
ANOM11370,2026-06-01,F02,SH001,supply_shortage,11.15,中,产地封控,2026-06-01 SH001市场F02价格异常波动
ANOM11401,2026-06-01,F06,GZ001,volume_surge,18.9,严重,大客户集中采购,2026-06-01 GZ001市场F06价格异常波动
ANOM11424,2026-06-01,F09,BJ001,price_drop,-58.7,低,替代水果冲击,2026-06-01 BJ001市场F09价格异常波动
ANOM11503,2026-06-01,F18,XA001,supply_shortage,12.89,中,产地封控,2026-06-01 XA001市场F18价格异常波动
ANOM11585,2026-06-02,F09,GZ001,supply_shortage,20.19,低,产地封控,2026-06-02 GZ001市场F09价格异常波动
ANOM11695,2026-06-03,F02,XA001,price_spike,48.95,严重,进口通关延迟,2026-06-03 XA001市场F02价格异常波动
ANOM11927,2026-06-04,F11,XA001,supply_shortage,24.76,中,产地封控,2026-06-04 XA001市场F11价格异常波动
ANOM12027,2026-06-05,F04,HN001,price_drop,-58.27,中,替代水果冲击,2026-06-05 HN001市场F04价格异常波动
ANOM12028,2026-06-05,F04,SZ001,volume_surge,11.01,严重,促销活动,2026-06-05 SZ001市场F04价格异常波动
ANOM12143,2026-06-05,F18,XA001,price_drop,-43.78,高,品质下滑,2026-06-05 XA001市场F18价格异常波动
ANOM12389,2026-06-07,F09,CD001,price_drop,-33.59,严重,出口减少转内销,2026-06-07 CD001市场F09价格异常波动
ANOM12409,2026-06-07,F12,GZ001,volume_surge,14.35,严重,大客户集中采购,2026-06-07 GZ001市场F12价格异常波动
ANOM12426,2026-06-07,F14,SH001,price_spike,22.49,低,主产区受灾减产,2026-06-07 SH001市场F14价格异常波动
ANOM12514,2026-06-08,F05,SH001,price_drop,-27.2,高,品质下滑,2026-06-08 SH001市场F05价格异常波动
ANOM12678,2026-06-09,F05,WH001,price_spike,33.22,严重,极端天气影响运输,2026-06-09 WH001市场F05价格异常波动
ANOM12681,2026-06-09,F06,GZ001,supply_shortage,14.14,中,产地封控,2026-06-09 GZ001市场F06价格异常波动
ANOM12771,2026-06-09,F17,HN001,supply_shortage,10.6,高,产地封控,2026-06-09 HN001市场F17价格异常波动
ANOM12886,2026-06-10,F11,WH001,supply_shortage,23.61,严重,产地封控,2026-06-10 WH001市场F11价格异常波动
ANOM12998,2026-06-11,F05,WH001,price_drop,-57.11,低,集中上市供过于求,2026-06-11 WH001市场F05价格异常波动
ANOM12999,2026-06-11,F05,XA001,volume_surge,18.75,严重,促销活动,2026-06-11 XA001市场F05价格异常波动
ANOM13076,2026-06-11,F15,SZ001,price_drop,-54.39,高,品质下滑,2026-06-11 SZ001市场F15价格异常波动
ANOM13230,2026-06-12,F14,WH001,supply_shortage,24.61,高,物流受阻,2026-06-12 WH001市场F14价格异常波动
ANOM13319,2026-06-13,F05,XA001,volume_surge,23.11,中,节假日备货,2026-06-13 XA001市场F05价格异常波动
ANOM13391,2026-06-13,F14,XA001,supply_shortage,8.13,严重,货源紧张,2026-06-13 XA001市场F14价格异常波动
ANOM13409,2026-06-13,F17,GZ001,price_drop,-37.34,低,出口减少转内销,2026-06-13 GZ001市场F17价格异常波动
ANOM13772,2026-06-16,F02,SZ001,price_drop,-54.35,中,集中上市供过于求,2026-06-16 SZ001市场F02价格异常波动
ANOM14141,2026-06-18,F08,CD001,volume_surge,6.45,中,批发市场搬迁,2026-06-18 CD001市场F08价格异常波动
ANOM14252,2026-06-19,F02,SZ001,supply_shortage,11.07,中,产地封控,2026-06-19 SZ001市场F02价格异常波动
ANOM14268,2026-06-19,F04,SZ001,supply_shortage,8.6,中,物流受阻,2026-06-19 SZ001市场F04价格异常波动
ANOM14280,2026-06-19,F06,BJ001,supply_shortage,17.23,严重,检验检疫加强,2026-06-19 BJ001市场F06价格异常波动
ANOM14370,2026-06-19,F17,SH001,price_spike,41.61,高,主产区受灾减产,2026-06-19 SH001市场F17价格异常波动
